Deepseek

पुस्तक का नाम	लेखक	रचना काल	संरचना	टिप्पणी
मंजूषा	नागेश भट्ट	१८वीं शताब्दी	अनेक प्रकरणों में विभाजित	वैयाकरण सिद्धांतों का विवेचन
परिभाषेन्दुशेखर	नागेश भट्ट	१८वीं शताब्दी	अनेक प्रकरणों में विभाजित	व्याकरण की परिभाषाओं का संग्रह
लघुशब्देन्दुशेखर	नागेश भट्ट	१८वीं शताब्दी	अनेक प्रकरणों में विभाजित	परिभाषेन्दुशेखर का संक्षिप्त रूप
बृहच्छब्देन्दुशेखर	नागेश भट्ट	१८वीं शताब्दी	अनेक प्रकरणों में विभाजित	परिभाषेन्दुशेखर का विस्तृत रूप
अष्टाध्यायीसूत्रपाठ	पाणिनि	ईसा पूर्व ५वीं सदी	८ अध्याय	अष्टाध्यायी के सूत्रों का पाठ
काशिकावृत्ति	वामन और जयादित्य	७वीं शताब्दी	अनेक अध्यायों में विभाजित	अष्टाध्यायी पर वृत्ति
पदञ्जलिमहाभाष्य	पतंजलि	ईसा पूर्व दूसरी सदी	अनेक आह्निकों में विभाजित	अष्टाध्यायी पर महाभाष्य
भर्तृहरिवृत्ति	भर्तृहरि	५वीं शताब्दी	अनेक काण्डों में विभाजित	वाक्यपदीय की वृत्ति
वाक्यपदीय	भर्तृहरि	५वीं शताब्दी	३ काण्डों में विभाजित	भाषा के दार्शनिक सिद्धांतों का विवेचन
हरिकारिका	भर्तृहरि	५वीं शताब्दी	३ काण्डों में विभाजित	वाक्यपदीय की कारिकाएँ
हेमचन्द्रव्याकरण	हेमचन्द्र	१२वीं शताब्दी	अनेक अध्यायों में विभाजित	प्राकृत व्याकरण
सिद्धहेमचन्द्र	हेमचन्द्र	१२वीं शताब्दी	अनेक अध्यायों में विभाजित	हेमचन्द्रव्याकरण का विस्तृत रूप
कलामव्याकरण	कलाम	१३वीं शताब्दी	अनेक अध्यायों में विभाजित	कन्नड़ व्याकरण
शब्दानुशासन	हेमचन्द्र	१२वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
अप्पय्यदीक्षितव्याकरण	अप्पय्य दीक्षित	१६वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
त्रिमूनीव्याकरण	त्रिमूनी	१८वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
मुग्धबोधव्याकरण	वोपदेव	१३वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
कौमुदी	भट्टोजि दीक्षित	१७वीं शताब्दी	अनेक प्रकरणों में विभाजित	सिद्धान्तकौमुदी का दूसरा नाम
व्याकरणसिद्धान्तमंजूषा	नागेश भट्ट	१८वीं शताब्दी	अनेक प्रकरणों में विभाजित	व्याकरण के सिद्धांतों का संग्रह
वैद्यनाथकृतव्याकरण	वैद्यनाथ	१७वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
पुरुषोत्तमदेवकृतव्याकरण	पुरुषोत्तमदेव	१२वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
रामचन्द्रकृतव्याकरण	रामचन्द्र	१५वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
हरिदीक्षितकृतव्याकरण	हरि दीक्षित	१७वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
शेषकृष्णकृतव्याकरण	शेषकृष्ण	१८वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
अच्युतानन्दकृतव्याकरण	अच्युतानन्द	१६वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
मधुसूदनसरस्वतीकृतव्याकरण	मधुसूदन सरस्वती	१६वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
विश्वनाथपञ्चाननकृतव्याकरण	विश्वनाथ पञ्चानन	१६वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
जगन्नाथकृतव्याकरण	जगन्नाथ	१७वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
भैरवमिश्रकृतव्याकरण	भैरव मिश्र	१८वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
नृसिंहदैवज्ञकृतव्याकरण	नृसिंह दैवज्ञ	१६वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
देवनाथाचार्यकृतव्याकरण	देवनाथाचार्य	१७वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
रघुनाथकृतव्याकरण	रघुनाथ	१८वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
लक्ष्मणसूरिकृतव्याकरण	लक्ष्मण सूरि	१९वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
बालकृष्णदीक्षितकृतव्याकरण	बालकृष्ण दीक्षित	१९वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
आनन्दघनकृतव्याकरण	आनन्दघन	१८वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
काशीनाथशास्त्रीकृतव्याकरण	काशीनाथ शास्त्री	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
गोपालशास्त्रीकृतव्याकरण	गोपाल शास्त्री	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
चिंतामणिशास्त्रीकृतव्याकरण	चिंतामणि शास्त्री	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
वासुदेवशास्त्रीकृतव्याकरण	वासुदेव शास्त्री	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
हरिहरानन्दसरस्वतीकृतव्याकरण	हरिहरानन्द सरस्वती	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
कपिलदेवद्विवेदीकृतव्याकरण	कपिलदेव द्विवेदी	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
रामनाथत्रिपाठीकृतव्याकरण	रामनाथ त्रिपाठी	२०वीं शताब्दी	अनेक अध्यायों में विभाजित	संस्कृत व्याकरण
